date,open,high,low,close,volume,amount,outstanding_share,turnover
2016-10-18,17.8,17.93,17.53,17.87,9793183.0,173633658.0,99700000.0,0.09822650952858576
2016-10-19,17.78,18.76,17.73,18.4,22662703.0,413370379.0,99700000.0,0.22730895687061184
2016-10-20,18.2,18.29,17.88,17.92,13590232.0,244656185.0,99700000.0,0.13631125376128386
2016-10-21,17.88,18.08,17.42,17.88,9909435.0,176369926.0,99700000.0,0.09939252758274825
2016-10-24,17.89,18.38,17.6,18.07,11850988.0,213296408.0,99700000.0,0.11886647943831495
2016-10-25,18.09,19.88,17.97,19.88,28724718.0,548472570.0,99700000.0,0.2881115145436309
2016-10-26,20.09,20.09,18.97,19.4,31103152.0,604202429.0,99700000.0,0.3119674222668004
2016-10-27,19.36,21.29,19.03,20.67,41510751.0,844858086.0,99700000.0,0.41635657973921764
2016-10-28,20.21,22.66,20.08,22.03,45230566.0,979709718.0,99700000.0,0.4536666599799398
2016-10-31,21.4,21.4,20.3,20.46,26164392.0,542078367.0,99700000.0,0.26243121364092276
2016-11-01,20.08,21.91,20.01,21.12,26526175.0,564236147.0,99700000.0,0.2660599297893681
2016-11-02,21.28,23.23,20.51,22.52,45814368.0,1021838294.0,99700000.0,0.4595222467402207
2016-11-03,21.99,24.77,21.77,24.47,53605598.0,1253285422.0,99700000.0,0.5376689869608826
2016-11-04,23.82,26.92,23.82,26.92,49762103.0,1299170594.0,99700000.0,0.4991183851554664
2016-11-07,27.79,29.61,27.73,29.61,58702371.0,1698964958.0,99700000.0,0.5887900802407222
2016-11-08,30.3,30.3,27.01,28.42,46592846.0,1325371673.0,99700000.0,0.4673304513540622
2016-11-09,28.56,30.43,28.0,28.97,52603903.0,1533917839.0,99700000.0,0.5276218956870612
2016-11-10,28.33,31.87,28.32,31.87,43590886.0,1337430070.0,99700000.0,0.4372205215646941
2016-11-11,33.0,34.39,30.08,30.63,60490295.0,1945982189.0,99700000.0,0.6067231193580742
2016-11-14,29.0,29.63,27.63,28.04,30831693.0,872106519.0,99700000.0,0.3092446639919759
2016-11-15,28.3,29.35,28.05,28.87,26856213.0,773203474.0,99700000.0,0.2693702407221665
2016-11-16,28.33,28.49,27.0,27.16,24031769.0,657370944.0,99700000.0,0.24104081243731193
2016-11-17,27.26,27.66,26.6,27.01,13971170.0,378193418.0,99700000.0,0.1401320962888666
2016-11-18,26.9,27.46,26.65,26.91,12869629.0,347864883.0,99700000.0,0.12908354062186558
2016-11-21,26.89,28.1,25.9,28.05,25742159.0,698785983.0,99700000.0,0.25819617853560684
2016-11-22,27.5,28.62,27.35,27.81,18588472.0,521585104.0,99700000.0,0.18644405215646942
2016-11-23,27.72,28.36,27.0,27.17,14625582.0,403004470.0,99700000.0,0.1466959077231695
2016-11-24,26.9,27.36,25.9,26.08,13430403.0,354396994.0,99700000.0,0.13470815446339018
2016-11-25,26.2,26.89,24.88,26.64,14060320.0,368379801.0,99700000.0,0.14102627883650953
2016-11-28,26.4,26.69,25.86,25.99,8458398.0,222038501.0,99700000.0,0.08483849548645937
2016-11-29,25.77,26.3,25.01,25.12,9245112.0,235743067.0,99700000.0,0.09272930792377132
2016-11-30,24.88,25.25,24.1,24.66,8131767.0,200566406.0,99700000.0,0.08156235707121363
2016-12-01,24.66,26.98,24.4,26.79,19202044.0,494906822.0,99700000.0,0.19259823470411233
2016-12-02,26.33,28.2,26.21,26.87,27216529.0,742838597.0,99700000.0,0.27298424272818456
2016-12-05,26.0,26.75,25.21,25.59,13475395.0,347458219.0,99700000.0,0.13515942828485455
2016-12-06,25.72,26.99,25.72,26.51,14523638.0,385487110.0,99700000.0,0.1456734002006018
2016-12-07,26.25,27.79,26.1,27.19,14900021.0,404156699.0,99700000.0,0.149448555667001
2016-12-08,27.0,27.34,26.22,26.36,11656626.0,310345387.0,99700000.0,0.1169170110330993
2016-12-09,26.0,26.0,24.8,24.95,12018383.0,304926009.0,99700000.0,0.1205454663991976
2016-12-12,24.6,25.3,23.45,23.57,10268989.0,251538290.0,99700000.0,0.10299888665997994
2016-12-13,23.63,24.45,22.5,24.03,10695956.0,250266574.0,99700000.0,0.10728140421263792
2016-12-14,23.8,24.06,23.0,23.14,7527426.0,177199789.0,99700000.0,0.07550076228686058
2016-12-15,23.0,23.78,23.0,23.37,7070332.0,165543656.0,99700000.0,0.07091606820461384
2016-12-16,23.39,25.44,23.01,25.01,15930768.0,387264837.0,99700000.0,0.1597870411233701
2016-12-19,24.6,24.78,23.75,24.02,9596643.0,232128706.0,99700000.0,0.09625519558676028
2016-12-20,23.88,24.99,23.88,24.39,10507141.0,257826399.0,99700000.0,0.10538757271815447
2016-12-21,24.2,24.88,24.15,24.65,8277340.0,202471749.0,99700000.0,0.08302246740220662
2016-12-22,24.6,24.62,24.17,24.27,5505026.0,134038035.0,99700000.0,0.05521590772316951
2016-12-23,24.01,24.14,23.0,23.03,8189767.0,191764975.0,99700000.0,0.08214410230692076
