code,name,section,next_crawl_index,market_cap
000759,中百集团,深市主板,0,471452.632
000761,本钢板材,深市主板,0,1283048.3429
000762,西藏矿业,深市主板,0,1183259.0041
000766,通化金马,深市主板,0,2484571.7555
000767,晋控电力,深市主板,0,829990.2343
000768,中航西飞,深市主板,0,7023314.5958
000776,广发证券,深市主板,0,12315846.8627
000777,中核科技,深市主板,0,739599.4853
000778,新兴铸管,深市主板,0,1452314.85
000779,甘咨询,深市主板,0,417367.7183
000782,恒申新材,深市主板,0,310546.0983
000783,长江证券,深市主板,0,4407468.1396
000785,居然智家,深市主板,0,1716199.698
000786,北新建材,深市主板,0,3940242.6731
000788,北大医药,深市主板,0,361168.3796
000789,万年青,深市主板,0,460901.4859
000790,华神科技,深市主板,0,238461.3972
000791,甘肃能源,深市主板,0,1260089.7827
000792,盐湖股份,深市主板,0,10366130.2804
000795,英洛华,深市主板,0,1191501.9923
000796,凯撒旅业,深市主板,0,823744.6554
000797,中国武夷,深市主板,0,428766.284
000798,中水渔业,深市主板,0,285352.2454
000799,酒鬼酒,深市主板,0,2132321.8502
000800,一汽解放,深市主板,0,3429839.8961
000801,四川九洲,深市主板,0,1639559.0535
000802,北京文化,深市主板,0,324821.2258
000803,山高环能,深市主板,0,321851.446
000807,云铝股份,深市主板,0,6831804.4705
000809,和展能源,深市主板,0,256510.0921
000810,创维数字,深市主板,0,1512655.1444
000811,冰轮环境,深市主板,0,1340479.6003
000812,陕西金叶,深市主板,0,354122.2072
000813,德展健康,深市主板,0,903703.7927
000815,美利云,深市主板,0,851697.2179
000816,智慧农业,深市主板,0,443857.0158
000818,航锦科技,深市主板,0,1521126.6355
000819,岳阳兴长,深市主板,0,617018.5325
000821,京山轻机,深市主板,0,753394.8519
000822,山东海化,深市主板,0,494090.7432
000823,超声电子,深市主板,0,732962.3629
000825,太钢不锈,深市主板,0,2204447.8971
000826,启迪环境,深市主板,0,357718.4127
000828,东莞控股,深市主板,0,1156980.9095
000829,天音控股,深市主板,0,985212.7416
000830,鲁西化工,深市主板,0,2688686.5277
000831,中国稀土,深市主板,0,5277451.0732
000833,粤桂股份,深市主板,0,607507.0128
000837,秦川机床,深市主板,0,1370065.8183
000838,财信发展,深市主板,0,267656.5272
000839,国安股份,深市主板,0,1046593.636
000848,承德露露,深市主板,0,887213.517
000850,华茂股份,深市主板,0,416038.0236
000852,石化机械,深市主板,0,599598.3903
000856,冀东装备,深市主板,0,243117.0
000858,五 粮 液,深市主板,0,46643318.7007
000859,国风新材,深市主板,0,587726.9778
000860,顺鑫农业,深市主板,0,1154189.4349
000862,银星能源,深市主板,0,343497.9971
000863,三湘印象,深市主板,0,418901.5505
000868,安凯客车,深市主板,0,398197.331
000869,张  裕Ａ,深市主板,0,978019.13
000875,吉电股份,深市主板,0,1945279.6326
000876,新 希 望,深市主板,0,4382026.0185
000877,天山股份,深市主板,0,4244962.6458
000878,云南铜业,深市主板,0,3207752.6764
000880,潍柴重机,深市主板,0,752139.7884
000881,中广核技,深市主板,0,626985.1907
000882,华联股份,深市主板,0,547102.8532
000883,湖北能源,深市主板,0,2941809.4301
000885,城发环境,深市主板,0,930371.3915
000886,海南高速,深市主板,0,639505.3313
000887,中鼎股份,深市主板,0,3258324.7372
000888,峨眉山Ａ,深市主板,0,701321.3388
000889,中嘉博创,深市主板,0,324453.9291
000890,法尔胜,深市主板,0,186254.0244
000892,欢瑞世纪,深市主板,0,451381.1483
000893,亚钾国际,深市主板,0,3067830.2696
000895,双汇发展,深市主板,0,8556604.0525
000897,津滨发展,深市主板,0,370348.3342
000898,鞍钢股份,深市主板,0,2013208.5818
000899,赣能股份,深市主板,0,897623.5392
000900,现代投资,深市主板,0,617728.6594
000901,航天科技,深市主板,0,1316220.8853
000902,新洋丰,深市主板,0,1603323.8573
000905,厦门港务,深市主板,0,612733.4881
000906,浙商中拓,深市主板,0,427756.256
000910,大亚圣象,深市主板,0,435558.862
000911,广农糖业,深市主板,0,291032.5077
000912,泸天化,深市主板,0,656992.0
000913,钱江摩托,深市主板,0,778711.483
000915,华特达因,深市主板,0,738837.0639
