ETF代码,ETF名称,完整代码,基金规模,成立日期,跟踪指数,基金公司
513530,港股通红利ETF,,24.23748862,,,
159929,医药ETF,,24.06409516,,,
159357,中证A500指数ETF,,23.58509747,,,
159857,光伏ETF,,23.45424714,,,
515700,新能车ETF,,23.10041232,,,
159825,农业ETF,,23.06178533,,,
563300,中证2000ETF,,22.92858066,,,
510760,上证综指ETF,,22.77521991,,,
560860,工业有色ETF,,22.46537182,,,
560080,中药ETF,,22.45230774,,,
513200,港股通医药ETF,,22.41402493,,,
518600,上海金ETF,,22.36929904,,,
516310,银行ETF易方达,,21.75098724,,,
588930,科创板人工智能ETF,,21.70146997,,,
510720,红利国企ETF,,21.62285488,,,
560350,中证A50ETF指数基金,,21.17703029,,,
562800,稀有金属ETF,,21.13950626,,,
512930,AI人工智能ETF,,21.09967232,,,
563080,中证A50ETF易方达,,20.92271149,,,
159358,中证A500ETF基金,,20.76770081,,,
589800,科创综指ETF易方达,,20.57426215,,,
159828,医疗ETF,,20.45274332,,,
516860,金融科技ETF,,20.12961792,,,
159790,碳中和ETF,,20.12641439,,,
515400,大数据ETF,,20.08582629,,,
516010,游戏ETF,,19.9042629,,,
518860,黄金ETFAU,,19.88048287,,,
159905,深红利ETF,,19.79661804,,,
159820,中证500ETF天弘,,19.79091564,,,
510510,中证500ETF基金,,19.71419281,,,
159581,红利ETF基金,,19.66658223,,,
588350,双创50ETF基金,,19.66525752,,,
159957,创业板ETF华夏,,19.61275407,,,
159796,电池50ETF,,19.44980275,,,
159316,恒生创新药ETF,,19.24119183,,,
588890,科创芯片ETF南方,,19.2269213,,,
518890,中银上海金ETF,,18.92557103,,,
159329,沙特ETF,,18.80395738,,,
515600,央企创新ETF,,18.34690426,,,
515680,央企创新ETF嘉实,,18.22227644,,,
159681,创50ETF,,18.16919094,,,
513040,港股通互联网ETF,,18.09381057,,,
520660,港股通央企红利ETF南方,,18.04350359,,,
159001,货币ETF,,17.999032,,,
513970,恒生消费ETF,,17.77469746,,,
520900,红利ETF港股,,17.65477808,,,
159592,A50ETF基金,,17.35916528,,,
159360,中证A500ETF天弘,,17.22617606,,,
589000,科创综指ETF华夏,,17.19300198,,,
588730,科创人工智能ETF,,17.1453054,,,
588300,双创ETF,,17.08383555,,,
530000,上证50ETF天弘,,16.98934495,,,
588400,科创创业ETF嘉实,,16.88558871,,,
159713,稀土ETF,,16.68890885,,,
159215,中证A500ETF指数基金,,16.63586551,,,
159939,信息技术ETF,,16.52155206,,,
562060,标普红利ETF,,16.49387187,,,
159300,300ETF,,16.48263627,,,
512700,银行ETF南方,,16.44164228,,,
510150,消费ETF,,16.40537736,,,
159633,中证1000ETF易方达,,16.33742094,,,
159908,创业板ETF博时,,16.28031821,,,
516880,光伏50ETF,,16.25279973,,,
515230,软件ETF,,16.09623315,,,
560260,医疗ETF龙头,,16.02595481,,,
513030,德国ETF,,15.74436212,,,
159561,德国ETF,,15.73605818,,,
589680,科创综指ETF鹏华,,15.70894237,,,
562080,300现金流ETF,,15.69800934,,,
517160,长江保护主题ETF,,15.62009543,,,
513880,日经225ETF,,15.6163321,,,
512040,价值100ETF,,15.57898858,,,
516820,医疗创新ETF,,15.49698156,,,
513850,美国50ETF,,15.38558516,,,
513730,东南亚科技ETF,,15.31905581,,,
513520,日经ETF,,14.95258618,,,
512570,证券ETF易方达,,14.83744396,,,
159359,中证A500ETF华安,,14.76489216,,,
520830,沙特ETF,,14.74763297,,,
159502,标普生物科技ETF,,14.66471086,,,
513400,道琼斯ETF,,14.52908292,,,
513870,纳指ETF富国,,14.43196903,,,
