ETF代码,ETF名称,基金规模,next_crawl_index
588200,科创芯片ETF,485.99668824,763
513970,恒生消费ETF,34.34677377,763
159670,消费50ETF国联安,0.47718644,763
513590,港股通消费ETF鹏华,1.92195484,763
516260,物联网ETF华夏,0.71697376,763
562390,中药ETF银华,0.84019269,763
513560,香港科技ETF,9.56737186,763
560850,信创ETF汇添富,1.70186676,763
513060,恒生医疗ETF博时,65.815782,763
589210,科创芯片设计ETF广发,1.01551878,763
159152,港股通科技ETF平安,8.67210277,763
159718,港股医药ETF,2.03530174,763
513100,纳指ETF,173.22982618,763
589500,科创综指ETF工银,1.6741812,763
513280,恒生生物科技ETF汇添富,4.9387396,763
562030,信创ETF基金,1.11704653,763
516560,养老ETF,1.35460798,763
159632,纳斯达克ETF,97.30801372,763
589680,科创综指ETF鹏华,12.00664992,763
589800,科创综指ETF易方达,15.74646996,763
159102,港股通生物科技ETF,6.56949164,763
159720,智能车ETF泰康,0.49198316,763
159660,纳指ETF汇添富,38.55391541,763
516770,游戏ETF华泰柏瑞,3.96525976,763
520690,港股创新药ETF博时,4.88161814,763
513360,教育ETF博时,3.14552358,763
159565,汽车零部件ETF易方达,3.13833067,763
513230,港股通消费ETF华夏,3.84529201,763
589200,科创200ETF工银,0.55008506,763
520880,港股通创新药ETF,23.716317,763
560800,数字经济ETF,5.19838121,763
560080,中药ETF,25.51904788,763
589030,科创芯片设计ETF易方达,4.64104397,763
512150,富时A50ETF汇安,0.66988304,763
159288,创业板综ETF银华,2.25117602,763
159928,消费ETF,223.81196727,763
159655,标普ETF,36.57976471,763
159895,物联网ETF易方达,0.90541763,763
159132,恒生生物科技ETF富国,1.70315048,763
159607,中概互联网ETF嘉实,10.96610598,763
513320,港股通新经济ETF易方达,1.45218621,763
513390,纳指100ETF博时,36.27308065,763
588460,科创50增强ETF,11.36514668,763
513300,纳斯达克ETF,115.09859598,763
589770,科创综指ETF招商,3.10102478,763
589000,科创综指ETF华夏,15.13648783,763
159647,中药ETF,15.1382414,763
159696,纳指ETF易方达,41.13358966,763
588160,科创新材料ETF南方,1.82508096,763
159275,农牧渔ETF,1.82277216,763
159689,消费ETF南方,0.69198623,763
159130,恒生生物科技ETF鹏华,2.82621683,763
513010,恒生科技ETF易方达,301.69565921,763
159896,物联网ETF南方,0.58867152,763
515060,房地产ETF华夏,6.56546922,763
589600,科创综指ETF富国,4.36915061,763
159121,港股通汽车ETF易方达,1.58772108,763
159329,沙特ETF南方,13.65953144,763
159798,消费ETF易方达,1.20935403,763
589080,科创综指ETF汇添富,2.92001718,763
