代码,名称,所属板块,流通市值,总市值,数据状态,动态市盈率,filter,next_crawl_index,质押股数
600279,重庆港,沪市主板,6646451185.00,6646451185.00,基础数据已获取,0.00,False,0,0.00
600282,南钢股份,沪市主板,35819178774.00,35819178774.00,基础数据已获取,0.00,False,0,0.00
600283,钱江水利,沪市主板,5207679999.00,5367094274.00,基础数据已获取,0.00,False,0,0.00
600284,浦东建设,沪市主板,8266581120.00,8266581120.00,基础数据已获取,0.00,False,0,0.00
600287,苏豪时尚,沪市主板,2577096837.00,2577096837.00,基础数据已获取,0.00,False,0,0.00
600288,大恒科技,沪市主板,7316400000.00,7316400000.00,基础数据已获取,0.00,False,0,0.00
600292,电投水电,沪市主板,10728424069.00,60184033202.00,基础数据已获取,0.00,False,0,0.00
600295,鄂尔多斯,沪市主板,30404118549.00,43073166549.00,基础数据已获取,0.00,False,0,0.00
600298,安琪酵母,沪市主板,38657486242.00,39145829042.00,基础数据已获取,0.00,False,0,0.00
600299,安迪苏,沪市主板,25692614195.00,29504285282.00,基础数据已获取,0.00,False,0,0.00
600300,维维股份,沪市主板,5999597488.00,5999597488.00,基础数据已获取,0.00,False,0,0.00
600302,标准股份,沪市主板,4899498825.00,4899498825.00,基础数据已获取,0.00,False,0,0.00
600307,酒钢宏兴,沪市主板,12965149868.00,12965149868.00,基础数据已获取,0.00,False,0,0.00
600308,华泰股份,沪市主板,6188830318.00,6188830318.00,基础数据已获取,0.00,False,0,0.00
600310,广西能源,沪市主板,5789557352.00,5789557352.00,基础数据已获取,0.00,False,0,0.00
600312,平高电气,沪市主板,30327191256.00,30327191256.00,基础数据已获取,0.00,False,0,0.00
600315,上海家化,沪市主板,15777143751.00,15777143751.00,基础数据已获取,0.00,False,0,0.00
600316,洪都航空,沪市主板,28813661092.00,28813661092.00,基础数据已获取,0.00,False,0,0.00
600320,振华重工,沪市主板,17839127440.00,28291058300.00,基础数据已获取,0.00,False,0,0.00
