ETF代码,ETF名称,市场价格,IOPV,折溢价率,净值时间,计算时间,timestamp
159639,碳中和ETF南方,0.973,0.9747,0.17,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159210,港股汽车ETF,1.127,1.1289,0.17,2025-09-25 10:59:33+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
516180,光伏ETF基金,0.768,0.7693,0.17,2025-09-25 10:59:17+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159539,信创ETF广发,1.645,1.6457,0.04,2025-09-25 10:59:21+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159782,双创50ETF,0.927,0.9275,0.05,2025-09-25 10:59:21+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
588760,人工智能ETF科创,0.827,0.8267,-0.04,2025-09-25 10:59:12+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159814,创业大盘ETF,0.672,0.6718,-0.03,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159885,碳中和ETF基金,0.781,0.7806,-0.05,2025-09-25 10:59:21+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
588400,科创创业ETF嘉实,0.937,0.9381,0.12,2025-09-25 10:59:12+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159507,通信ETF广发,1.835,1.8373,0.13,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
588380,双创50ETF,0.949,0.9504,0.15,2025-09-25 10:59:13+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
517050,互联网ETF华泰柏瑞,1.003,1.0063,0.33,2025-09-25 10:59:17+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
516090,新能源ETF易方达,0.528,0.5279,-0.02,2025-09-25 10:59:18+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
589090,科创AIETF鹏华,1.167,1.1687,0.15,2025-09-25 10:59:12+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159603,双创龙头ETF,1.435,1.4381,0.22,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159518,标普油气ETF,0.954,0.951,-0.32,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159641,双碳ETF,1.02,1.0201,0.01,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159586,计算机ETF南方,1.45,1.4506,0.04,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159908,创业板ETF博时,3.007,3.0053,-0.06,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159747,香港科技ETF,1.672,1.6758,0.23,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159385,数字经济ETF富国,1.513,1.5088,-0.28,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
562990,碳中和ETF易方达,0.972,0.9724,0.04,2025-09-25 10:59:16+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
520840,港股通恒生科技ETF,1.14,1.1417,0.15,2025-09-25 10:59:18+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159994,5GETF,1.79,1.7926,0.15,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159609,光伏龙头ETF,0.541,0.5411,0.02,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159781,科创创业ETF,0.928,0.9269,-0.12,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
563010,电信ETF,1.8,1.7973,-0.15,2025-09-25 10:59:15+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159323,港股通汽车ETF,1.413,1.4162,0.23,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
516050,科技龙头ETF,1.096,1.0971,0.1,2025-09-25 10:59:20+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159836,创业板300ETF天弘,1.206,1.2024,-0.3,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
516850,新能源ETF基金,0.987,0.9884,0.14,2025-09-25 10:59:17+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
589380,科创AIETF富国,1.536,1.5358,-0.01,2025-09-25 10:59:11+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159864,光伏50ETF,0.605,0.6059,0.15,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
588730,科创人工智能ETF,1.598,1.5996,0.1,2025-09-25 10:59:10+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
589010,科创人工智能ETF华夏,1.541,1.5429,0.12,2025-09-25 10:59:12+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
588330,双创龙头ETF,0.941,0.9405,-0.05,2025-09-25 10:59:10+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159977,创业板ETF天弘,1.682,1.6833,0.08,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159948,创业板ETF南方,3.572,3.5741,0.06,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
