ETF代码,ETF名称,市场价格,IOPV,折溢价率,净值时间,计算时间
560080,中药ETF,1.101,1.1007,-0.03,2025-09-04 13:52:59+08:00,2025-09-04 13:52:56
520830,沙特ETF,0.91,0.9116,0.18,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
520550,港股红利低波ETF,1.174,1.1794,0.46,2025-09-04 13:53:01+08:00,2025-09-04 13:52:56
159920,恒生ETF,1.545,1.5515,0.42,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
513550,港股通50ETF,1.125,1.1266,0.14,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
513190,港股通金融ETF,1.675,1.683,0.48,2025-09-04 13:53:06+08:00,2025-09-04 13:52:56
516100,金融科技ETF华夏,1.498,1.4959,-0.14,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
513950,恒生红利ETF,1.367,1.3733,0.46,2025-09-04 13:53:06+08:00,2025-09-04 13:52:56
513690,港股红利ETF博时,1.066,1.0672,0.11,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
512200,房地产ETF,1.482,1.4847,0.18,2025-09-04 13:53:09+08:00,2025-09-04 13:52:56
513600,恒生指数ETF,2.897,2.8989,0.07,2025-09-04 13:53:06+08:00,2025-09-04 13:52:56
561910,电池ETF,0.644,0.6437,-0.05,2025-09-04 13:52:59+08:00,2025-09-04 13:52:56
513530,港股通红利ETF,1.645,1.6521,0.43,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
513050,中概互联网ETF,1.511,1.5231,0.79,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
515030,新能源车ETF,1.489,1.4888,-0.01,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
515700,新能车ETF,1.982,1.984,0.1,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
159985,豆粕ETF,1.998,1.9663,-1.61,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
159688,恒生互联网ETF,1.062,1.0606,-0.13,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
159851,金融科技ETF,0.913,0.9121,-0.1,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
159840,锂电池ETF,0.678,0.6792,0.18,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
560090,证券ETF龙头,1.344,1.3453,0.1,2025-09-04 13:52:59+08:00,2025-09-04 13:52:56
513820,港股红利ETF基金,1.24,1.2459,0.47,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
513040,港股通互联网ETF,1.562,1.5565,-0.35,2025-09-04 13:53:03+08:00,2025-09-04 13:52:56
513920,港股通央企红利ETF,1.541,1.5473,0.41,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
520990,港股央企红利50ETF,0.992,0.9965,0.45,2025-09-04 13:53:02+08:00,2025-09-04 13:52:56
513910,港股央企红利ETF,1.55,1.556,0.39,2025-09-04 13:53:06+08:00,2025-09-04 13:52:56
510900,H股ETF,1.16,1.1644,0.38,2025-09-04 13:53:09+08:00,2025-09-04 13:52:56
510210,上证指数ETF,0.946,0.9468,0.08,2025-09-04 13:53:08+08:00,2025-09-04 13:52:56
159755,电池ETF,0.847,0.8473,0.04,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
513330,恒生互联网ETF,0.524,0.5237,-0.06,2025-09-04 13:53:03+08:00,2025-09-04 13:52:56
159329,沙特ETF,0.924,0.9224,-0.17,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
510760,上证综指ETF,1.216,1.2166,0.05,2025-09-04 13:53:09+08:00,2025-09-04 13:52:56
513770,港股互联网ETF,0.588,0.5864,-0.27,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
159742,恒生科技指数ETF,0.766,0.7637,-0.3,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
513580,恒生科技ETF指数基金,0.753,0.7467,-0.84,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
513130,恒生科技ETF,0.746,0.7462,0.03,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
513260,恒生科技ETF基金,1.45,1.4454,-0.32,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
159792,港股通互联网ETF,0.956,0.9574,0.15,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
513010,恒生科技ETF易方达,0.777,0.7747,-0.3,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
513380,恒生科技ETF龙头,0.685,0.6856,0.09,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
513180,恒生科技指数ETF,0.759,0.7582,-0.11,2025-09-04 13:53:03+08:00,2025-09-04 13:52:56
159740,恒生科技ETF,0.745,0.742,-0.4,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
159870,化工ETF,0.663,0.662,-0.15,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
516020,化工ETF,0.701,0.7011,0.01,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
159592,A50ETF基金,1.244,1.2453,0.1,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
159883,医疗器械ETF,0.54,0.5378,-0.41,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
560350,中证A50ETF指数基金,1.215,1.2164,0.12,2025-09-04 13:52:58+08:00,2025-09-04 13:52:56
515210,钢铁ETF,1.361,1.3617,0.05,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
516860,金融科技ETF,1.556,1.5534,-0.17,2025-09-04 13:53:03+08:00,2025-09-04 13:52:56
159593,中证A50指数ETF,1.265,1.2667,0.13,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
159595,中证A50ETF基金,1.262,1.2656,0.28,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
513750,港股通非银ETF,1.655,1.6607,0.34,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
159633,中证1000ETF易方达,2.941,2.9455,0.15,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
562080,300现金流ETF,1.12,1.1215,0.13,2025-09-04 13:52:57+08:00,2025-09-04 13:52:56
159996,家电ETF,1.454,1.4543,0.02,2025-09-04 13:53:06+08:00,2025-09-04 13:52:56
159901,深证100ETF,3.255,3.2449,-0.31,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
159636,港股通科技30ETF,1.41,1.4048,-0.37,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
563080,中证A50ETF易方达,1.262,1.2664,0.35,2025-09-04 13:52:59+08:00,2025-09-04 13:52:56
513860,港股通科技ETF,0.783,0.7794,-0.46,2025-09-04 13:53:06+08:00,2025-09-04 13:52:56
159399,现金流ETF,1.109,1.1084,-0.05,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
159300,300ETF,4.562,4.5745,0.27,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
159629,1000ETF,2.898,2.9016,0.12,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
159845,中证1000ETF,2.91,2.9069,-0.11,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
560010,中证1000ETF指数,2.901,2.9059,0.17,2025-09-04 13:53:00+08:00,2025-09-04 13:52:56
513020,港股科技ETF,1.217,1.2132,-0.31,2025-09-04 13:53:06+08:00,2025-09-04 13:52:56
159869,游戏ETF,1.421,1.4212,0.01,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
159359,中证A500ETF华安,1.15,1.1537,0.32,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
510100,上证50ETF易方达,2.96,2.9621,0.07,2025-09-04 13:53:11+08:00,2025-09-04 13:52:56
512100,中证1000ETF,2.859,2.8625,0.12,2025-09-04 13:53:08+08:00,2025-09-04 13:52:56
159673,沪深300ETF鹏华,1.186,1.1931,0.6,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
510360,沪深300ETF基金,1.651,1.6565,0.33,2025-09-04 13:53:10+08:00,2025-09-04 13:52:56
563000,中国A50ETF,0.975,0.9762,0.12,2025-09-04 13:52:58+08:00,2025-09-04 13:52:56
159925,沪深300ETF南方,4.474,4.4895,0.35,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
510050,上证50ETF,3.028,3.0297,0.06,2025-09-04 13:53:11+08:00,2025-09-04 13:52:56
510500,中证500ETF,6.807,6.8112,0.06,2025-09-04 13:53:07+08:00,2025-09-04 13:52:56
159262,港股通科技ETF,1.118,1.1155,-0.22,2025-09-04 13:53:21+08:00,2025-09-04 13:52:56
510310,沪深300ETF易方达,4.313,4.3248,0.27,2025-09-04 13:53:10+08:00,2025-09-04 13:52:56
159201,自由现金流ETF,1.096,1.0964,0.04,2025-09-04 13:53:21+08:00,2025-09-04 13:52:56
510300,沪深300ETF,4.459,4.4709,0.27,2025-09-04 13:53:09+08:00,2025-09-04 13:52:56
159919,沪深300ETF,4.599,4.6067,0.17,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
510150,消费ETF,0.591,0.5919,0.15,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
515230,软件ETF,0.93,0.9292,-0.09,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
510330,沪深300ETF华夏,4.525,4.5327,0.17,2025-09-04 13:53:08+08:00,2025-09-04 13:52:56
520980,港股通科技ETF汇添富,1.123,1.1214,-0.14,2025-09-04 13:53:03+08:00,2025-09-04 13:52:56
516010,游戏ETF,1.409,1.4105,0.11,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
560050,MSCI中国A50ETF,0.964,0.9658,0.19,2025-09-04 13:53:00+08:00,2025-09-04 13:52:56
159215,中证A500ETF指数基金,1.154,1.1585,0.39,2025-09-04 13:53:21+08:00,2025-09-04 13:52:56
513160,港股科技30ETF,1.237,1.2323,-0.38,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
159352,A500ETF南方,1.14,1.1428,0.25,2025-09-04 13:53:21+08:00,2025-09-04 13:52:56
510180,上证180ETF,3.954,3.9703,0.41,2025-09-04 13:53:11+08:00,2025-09-04 13:52:56
520840,港股通恒生科技ETF,0.982,0.98,-0.2,2025-09-04 13:53:01+08:00,2025-09-04 13:52:56
563360,A500ETF华泰柏瑞,1.158,1.163,0.43,2025-09-04 13:52:59+08:00,2025-09-04 13:52:56
515800,800ETF,1.159,1.1634,0.38,2025-09-04 13:53:06+08:00,2025-09-04 13:52:56
512500,中证500ETF华夏,3.732,3.7406,0.23,2025-09-04 13:53:08+08:00,2025-09-04 13:52:56
159601,A50ETF,0.971,0.9786,0.78,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
513980,港股科技50ETF,0.783,0.7795,-0.45,2025-09-04 13:53:06+08:00,2025-09-04 13:52:56
159339,A500ETF,1.102,1.1072,0.47,2025-09-04 13:53:21+08:00,2025-09-04 13:52:56
159338,中证A500ETF,1.096,1.0981,0.19,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
159356,A500ETF基金,1.139,1.145,0.52,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
563220,中证A500ETF富国,1.137,1.1404,0.3,2025-09-04 13:52:57+08:00,2025-09-04 13:52:56
512050,A500ETF基金,1.089,1.0917,0.25,2025-09-04 13:53:08+08:00,2025-09-04 13:52:56
563880,中证A500指数ETF,1.128,1.1321,0.36,2025-09-04 13:52:57+08:00,2025-09-04 13:52:56
159360,中证A500ETF天弘,1.16,1.1655,0.47,2025-09-04 13:53:21+08:00,2025-09-04 13:52:56
510580,中证500ETF易方达,3.416,3.4311,0.44,2025-09-04 13:53:10+08:00,2025-09-04 13:52:56
512020,A500ETF指数,1.154,1.1582,0.36,2025-09-04 13:53:10+08:00,2025-09-04 13:52:56
159353,中证A500ETF景顺,1.107,1.1118,0.43,2025-09-04 13:53:21+08:00,2025-09-04 13:52:56
159337,中证500ETF基金,1.493,1.497,0.27,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
560510,中证A500ETF,1.083,1.0888,0.53,2025-09-04 13:53:00+08:00,2025-09-04 13:52:56
560530,中证A500ETF摩根,1.115,1.1204,0.48,2025-09-04 13:52:58+08:00,2025-09-04 13:52:56
159361,A500ETF易方达,1.114,1.1174,0.3,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
159351,A500ETF嘉实,1.111,1.1144,0.31,2025-09-04 13:53:21+08:00,2025-09-04 13:52:56
159967,创业板成长ETF,0.554,0.5542,0.04,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
510510,中证500ETF基金,2.124,2.1319,0.37,2025-09-04 13:53:10+08:00,2025-09-04 13:52:56
561300,300增强ETF,0.929,0.932,0.32,2025-09-04 13:53:00+08:00,2025-09-04 13:52:56
563800,A500ETF龙头,1.091,1.0949,0.36,2025-09-04 13:52:57+08:00,2025-09-04 13:52:56
512080,A500ETF中金,1.17,1.1775,0.64,2025-09-04 13:53:09+08:00,2025-09-04 13:52:56
560610,A500指数ETF,1.082,1.0866,0.42,2025-09-04 13:52:59+08:00,2025-09-04 13:52:56
159922,中证500ETF,2.717,2.7177,0.03,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
159357,中证A500指数ETF,1.145,1.1499,0.43,2025-09-04 13:53:21+08:00,2025-09-04 13:52:56
159852,软件ETF,0.899,0.8984,-0.07,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
512980,传媒ETF,0.968,0.9696,0.17,2025-09-04 13:53:06+08:00,2025-09-04 13:52:56
159518,标普油气ETF,0.916,0.9144,-0.17,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
159358,中证A500ETF基金,1.164,1.1675,0.3,2025-09-04 13:53:21+08:00,2025-09-04 13:52:56
512170,医疗ETF,0.378,0.3779,-0.03,2025-09-04 13:53:08+08:00,2025-09-04 13:52:56
159378,通用航空ETF,1.19,1.1904,0.03,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
159770,机器人ETF,1.006,1.0067,0.07,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
159952,创业板ETF广发,1.701,1.6983,-0.16,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
159828,医疗ETF,0.467,0.4681,0.23,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
512660,军工ETF,1.167,1.1696,0.22,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
513200,港股通医药ETF,1.286,1.2877,0.13,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
562310,沪深300成长ETF,0.917,0.9203,0.36,2025-09-04 13:52:59+08:00,2025-09-04 13:52:56
159915,创业板ETF,2.785,2.7869,0.07,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
159957,创业板ETF华夏,1.837,1.835,-0.11,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
561550,500增强ETF,1.147,1.1456,-0.12,2025-09-04 13:53:00+08:00,2025-09-04 13:52:56
159977,创业板ETF天弘,2.917,2.9134,-0.12,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
159732,消费电子ETF,0.98,0.9825,0.25,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
159638,高端装备ETF,0.845,0.8445,-0.06,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
159948,创业板ETF南方,3.095,3.0983,0.11,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
512680,军工ETF龙头,1.194,1.1973,0.28,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
159908,创业板ETF博时,2.602,2.6053,0.13,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
159929,医药ETF,1.503,1.507,0.27,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
159316,恒生创新药ETF,1.611,1.6048,-0.39,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
159971,创业板ETF富国,1.95,1.9494,-0.03,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
562800,稀有金属ETF,0.723,0.7233,0.04,2025-09-04 13:52:57+08:00,2025-09-04 13:52:56
562500,机器人ETF,0.97,0.9712,0.12,2025-09-04 13:52:58+08:00,2025-09-04 13:52:56
159998,计算机ETF,0.985,0.9838,-0.12,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
512810,国防军工ETF,0.673,0.6755,0.37,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
517520,黄金股ETF,1.739,1.7355,-0.2,2025-09-04 13:53:03+08:00,2025-09-04 13:52:56
513700,香港医药ETF,0.762,0.7647,0.35,2025-09-04 13:53:06+08:00,2025-09-04 13:52:56
159949,创业板50ETF,1.311,1.3115,0.04,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
159217,港股通创新药ETF工银,1.611,1.6104,-0.04,2025-09-04 13:53:21+08:00,2025-09-04 13:52:56
513060,恒生医疗ETF,0.721,0.7253,0.59,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
512670,国防ETF,0.773,0.7736,0.08,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
159530,机器人ETF易方达,1.466,1.4656,-0.03,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
516820,医疗创新ETF,0.405,0.4055,0.12,2025-09-04 13:53:03+08:00,2025-09-04 13:52:56
159682,创业50ETF,1.272,1.271,-0.08,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
159567,港股创新药ETF,0.971,0.972,0.1,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
512720,计算机ETF,1.173,1.1732,0.02,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
159681,创50ETF,1.286,1.2874,0.11,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
159570,港股通创新药ETF,1.972,1.9676,-0.22,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
520880,港股通创新药ETF,0.64,0.6389,-0.17,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
515400,大数据ETF,0.942,0.9428,0.08,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
512710,军工龙头ETF,0.661,0.6613,0.05,2025-09-04 13:53:06+08:00,2025-09-04 13:52:56
159559,机器人50ETF,1.315,1.3168,0.14,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
