日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,ETF代码,ETF名称,爬取时间
2025-05-20,0.596,0.596,0.588,0.594,4048,239659.0,1.35,0.51,0.003,2.23,516480,新材料ETF基金,2025-10-10 19:24:57
2025-05-21,0.59,0.6,0.579,0.598,15908,945274.0,3.54,0.67,0.004,8.77,516480,新材料ETF基金,2025-10-10 19:24:57
2025-05-22,0.598,0.598,0.591,0.594,2361,140430.0,1.17,-0.67,-0.004,1.3,516480,新材料ETF基金,2025-10-10 19:24:57
2025-05-23,0.594,0.597,0.589,0.596,4864,288858.0,1.35,0.34,0.002,2.68,516480,新材料ETF基金,2025-10-10 19:24:57
2025-05-26,0.594,0.594,0.583,0.588,3520,205788.0,1.85,-1.34,-0.008,1.94,516480,新材料ETF基金,2025-10-10 19:24:57
2025-05-27,0.59,0.597,0.58,0.585,6599,391371.0,2.89,-0.51,-0.003,3.64,516480,新材料ETF基金,2025-10-10 19:24:57
2025-05-28,0.584,0.587,0.579,0.58,743,43133.0,1.37,-0.85,-0.005,0.41,516480,新材料ETF基金,2025-10-10 19:24:57
2025-05-29,0.582,0.584,0.579,0.584,7327,424627.0,0.86,0.69,0.004,4.04,516480,新材料ETF基金,2025-10-10 19:24:57
2025-05-30,0.583,0.6,0.577,0.58,20620,1204973.0,3.94,-0.68,-0.004,11.36,516480,新材料ETF基金,2025-10-10 19:24:57
2025-06-03,0.572,0.582,0.57,0.578,2003,115849.0,2.07,-0.34,-0.002,1.1,516480,新材料ETF基金,2025-10-10 19:24:57
2025-06-04,0.58,0.584,0.58,0.58,1013,59000.0,0.69,0.35,0.002,0.56,516480,新材料ETF基金,2025-10-10 19:24:57
2025-06-05,0.58,0.582,0.577,0.581,2216,128257.0,0.86,0.17,0.001,1.22,516480,新材料ETF基金,2025-10-10 19:24:57
2025-06-06,0.579,0.585,0.579,0.583,5079,296112.0,1.03,0.34,0.002,2.8,516480,新材料ETF基金,2025-10-10 19:24:57
2025-06-09,0.583,0.585,0.583,0.583,420,24508.0,0.34,0.0,0.0,0.23,516480,新材料ETF基金,2025-10-10 19:24:57
2025-06-10,0.582,0.586,0.572,0.578,3992,231683.0,2.4,-0.86,-0.005,2.2,516480,新材料ETF基金,2025-10-10 19:24:57
2025-06-11,0.583,0.586,0.582,0.584,1888,110342.0,0.69,1.04,0.006,1.04,516480,新材料ETF基金,2025-10-10 19:24:57
2025-06-12,0.585,0.594,0.579,0.582,2009,117004.0,2.57,-0.34,-0.002,1.11,516480,新材料ETF基金,2025-10-10 19:24:57
2025-06-13,0.581,0.588,0.578,0.579,1249,72390.0,1.72,-0.52,-0.003,0.69,516480,新材料ETF基金,2025-10-10 19:24:57
2025-06-16,0.578,0.579,0.574,0.577,7070,408570.0,0.86,-0.35,-0.002,3.9,516480,新材料ETF基金,2025-10-10 19:24:57
2025-06-17,0.578,0.578,0.574,0.575,4227,243284.0,0.69,-0.35,-0.002,2.33,516480,新材料ETF基金,2025-10-10 19:24:57
2025-06-18,0.573,0.579,0.573,0.578,2780,159812.0,1.04,0.52,0.003,1.53,516480,新材料ETF基金,2025-10-10 19:24:57
2025-06-19,0.574,0.583,0.573,0.574,9303,536135.0,1.73,-0.69,-0.004,5.13,516480,新材料ETF基金,2025-10-10 19:24:57
2025-06-20,0.576,0.578,0.574,0.575,1489,85771.0,0.7,0.17,0.001,0.82,516480,新材料ETF基金,2025-10-10 19:24:57
2025-06-23,0.576,0.583,0.576,0.583,7031,407219.0,1.22,1.39,0.008,3.87,516480,新材料ETF基金,2025-10-10 19:24:57
2025-06-24,0.577,0.592,0.577,0.591,2195,128774.0,2.57,1.37,0.008,1.21,516480,新材料ETF基金,2025-10-10 19:24:57
2025-06-25,0.588,0.599,0.587,0.597,3961,235589.0,2.03,1.02,0.006,2.18,516480,新材料ETF基金,2025-10-10 19:24:57
2025-06-26,0.603,0.604,0.593,0.594,2343,140732.0,1.84,-0.5,-0.003,1.29,516480,新材料ETF基金,2025-10-10 19:24:57
2025-06-27,0.597,0.602,0.595,0.597,3545,212513.0,1.18,0.51,0.003,1.95,516480,新材料ETF基金,2025-10-10 19:24:57
2025-06-30,0.594,0.607,0.594,0.606,6716,405859.0,2.18,1.51,0.009,3.7,516480,新材料ETF基金,2025-10-10 19:24:57
2025-07-01,0.603,0.607,0.6,0.604,2410,146101.0,1.16,-0.33,-0.002,1.33,516480,新材料ETF基金,2025-10-10 19:24:57
2025-07-02,0.603,0.61,0.603,0.61,73259,4460665.0,1.16,0.99,0.006,40.37,516480,新材料ETF基金,2025-10-10 19:24:57
2025-07-03,0.607,0.614,0.603,0.612,102225,6270746.0,1.8,0.33,0.002,56.33,516480,新材料ETF基金,2025-10-10 19:24:57
2025-07-04,0.609,0.616,0.607,0.61,6540,398961.0,1.47,-0.33,-0.002,3.6,516480,新材料ETF基金,2025-10-10 19:24:57
2025-07-07,0.61,0.61,0.605,0.61,2209,134005.0,0.82,0.0,0.0,1.22,516480,新材料ETF基金,2025-10-10 19:24:57
2025-07-08,0.604,0.625,0.604,0.62,6739,414924.0,3.44,1.64,0.01,3.71,516480,新材料ETF基金,2025-10-10 19:24:57
2025-07-09,0.62,0.624,0.617,0.62,2665,165339.0,1.13,0.0,0.0,1.47,516480,新材料ETF基金,2025-10-10 19:24:57
2025-07-10,0.622,0.624,0.617,0.624,1735,107885.0,1.13,0.65,0.004,0.96,516480,新材料ETF基金,2025-10-10 19:24:57
2025-07-11,0.619,0.626,0.615,0.624,1373,85422.0,1.76,0.0,0.0,0.76,516480,新材料ETF基金,2025-10-10 19:24:57
2025-07-14,0.62,0.626,0.614,0.622,854,52928.0,1.92,-0.32,-0.002,0.47,516480,新材料ETF基金,2025-10-10 19:24:57
2025-07-15,0.622,0.622,0.612,0.616,2113,130368.0,1.61,-0.96,-0.006,1.16,516480,新材料ETF基金,2025-10-10 19:24:57
2025-07-16,0.618,0.619,0.615,0.615,1492,92084.0,0.65,-0.16,-0.001,0.82,516480,新材料ETF基金,2025-10-10 19:24:57
2025-07-17,0.617,0.624,0.617,0.624,731,45495.0,1.14,1.46,0.009,0.4,516480,新材料ETF基金,2025-10-10 19:24:57
2025-07-18,0.629,0.635,0.626,0.626,5566,350405.0,1.44,0.32,0.002,3.07,516480,新材料ETF基金,2025-10-10 19:24:57
